rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
7,7,0,NEW,20230747,샷건 웨딩,2023-03-29,13979000,1.4,13979000,100,18666000,1997,1997,100,2646,6,6,20230327
8,8,-1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,20747300,2.1,-54745300,-72.5,6469646700,1659,-4336,-72.3,525259,161,332,20230327
9,9,4,OLD,20227684,멍뭉이,2023-03-01,13172600,1.3,-3779783,-22.3,1614583171,1372,-375,-21.5,171768,36,42,20230327
10,10,1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,25275000,2.5,-28101000,-52.6,5589002000,1054,-1171,-52.6,231235,49,114,20230327
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3186514593,69.0,-376584338,-10.6,31093458647,309264,-34043,-9.9,2964810,1572,6348,20230326
2,2,0,OLD,20210544,웅남이,2023-03-22,416919484,9.0,-68449922,-14.1,1596782098,42525,-7411,-14.8,172365,819,2953,20230326
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,319002394,6.9,-179959238,-36.1,44136393526,30374,-16032,-34.5,4279772,651,1643,20230326
4,4,0,OLD,20197654,소울메이트,2023-03-15,162494158,3.5,-5916749,-3.5,1829192208,15936,-848,-5.1,187370,591,1239,20230326
5,5,0,OLD,20230767,파벨만스,2023-03-22,85396864,1.8,-18107238,-17.5,369650693,8282,-1407,-14.5,35345,432,719,20230326
6,6,2,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,68158000,1.5,4703700,7.4,365828300,7062,309,4.6,41161,223,356,20230326
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,75492600,1.6,-15356900,-16.9,6448899400,5995,-1123,-15.8,523600,176,394,20230326
8,8,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,55495839,1.2,-12210706,-18,925047053,5279,-1098,-17.2,89187,233,363,20230326
9,9,1,OLD,20239905,꼬마돼지 베이브의 바다 대모험,2023-03-23,29961878,0.6,-1886364,-5.9,70915319,3409,-151,-4.2,8101,315,368,20230326
10,10,1,OLD,20224780,모나리자와 블러드 문,2023-03-22,20861179,0.5,-5260598,-20.1,147766899,2309,-485,-17.4,16289,327,451,20230326
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3563098931,65.2,2438158590,216.7,27906944054,343307,238424,227.3,2655546,1559,6486,20230325
2,2,0,OLD,20210544,웅남이,2023-03-22,485369406,8.9,252827876,108.7,1179862614,49936,24813,98.8,129840,829,3123,20230325
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,498961632,9.1,361912562,264.1,43817391132,46406,33630,263.2,4249398,658,1695,20230325
4,4,0,OLD,20197654,소울메이트,2023-03-15,168410907,3.1,98220176,139.9,1666698050,16784,9985,146.9,171434,595,1284,20230325
5,5,0,OLD,20230767,파벨만스,2023-03-22,103504102,1.9,57517424,125.1,284253829,9689,5191,115.4,27063,450,757,20230325
6,6,4,OLD,20230495,아임 히어로 더 파이널,2023-03-01,199193500,3.6,172145500,636.4,5510351000,8300,7173,636.5,227956,50,129,20230325
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,90849500,1.7,51978700,133.7,6373406800,7118,4138,138.9,517605,181,413,20230325
8,8,8,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,63454300,1.2,58979700,1318.1,297670300,6753,6208,1139.1,34099,220,344,20230325
9,9,-3,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,67706545,1.2,33241673,96.5,869551214,6377,3068,92.7,83908,234,390,20230325
10,10,7,OLD,20239905,꼬마돼지 베이브의 바다 대모험,2023-03-23,31848242,0.6,27303943,600.8,40953441,3560,3022,561.7,4692,319,373,20230325
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1124940341,61.3,449763915,66.6,24343845123,104883,38894,58.9,2312239,1315,5190,20230324
2,2,0,OLD,20210544,웅남이,2023-03-22,232541530,12.7,29054716,14.3,694493208,25123,1879,8.1,79904,771,2978,20230324
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,137049070,7.5,45772208,50.1,43318429500,12776,3830,42.8,4202992,595,1398,20230324
4,4,0,OLD,20197654,소울메이트,2023-03-15,70190731,3.8,14571330,26.2,1498287143,6799,780,13,154650,541,1161,20230324
5,5,0,OLD,20230767,파벨만스,2023-03-22,45986678,2.5,9153227,24.9,180749727,4498,703,18.5,17374,408,754,20230324
6,6,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,34464872,1.9,9551189,38.3,801844669,3309,824,33.2,77531,219,384,20230324
7,7,1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,38870800,2.1,10675500,37.9,6282557300,2980,724,32.1,510487,174,394,20230324
8,8,-2,OLD,20224780,모나리자와 블러드 문,2023-03-22,21233692,1.2,-3143783,-12.9,100783943,2191,-723,-24.8,11186,318,519,20230324
9,9,4,OLD,20230081,샤잠! 신들의 분노,2023-03-15,11988185,0.7,3512689,41.4,769832057,1164,310,36.3,72691,250,336,20230324
10,10,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,27048000,1.5,-39000,-0.1,5311157500,1127,-2,-0.2,219656,47,118,20230324
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,675176426,52.2,-35671625,-5,23218904782,65989,-3382,-4.9,2207356,1227,4651,20230323
2,2,0,OLD,20210544,웅남이,2023-03-22,203486814,15.7,-27839050,-12,461951678,23244,-4432,-16,54781,756,2885,20230323
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,91276862,7.1,6567765,7.8,43181380430,8946,681,8.2,4190216,571,1237,20230323
4,4,0,OLD,20197654,소울메이트,2023-03-15,55619401,4.3,-18714444,-25.2,1428096412,6019,-2100,-25.9,147851,506,1077,20230323
5,5,1,OLD,20230767,파벨만스,2023-03-22,36833451,2.8,-9511065,-20.5,134763049,3795,-1042,-21.5,12876,409,733,20230323
6,6,-1,OLD,20224780,모나리자와 블러드 문,2023-03-22,24377475,1.9,-23544301,-49.1,79550251,2914,-2578,-46.9,8995,322,553,20230323
